Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,286,,361,,0.7451523545706371,0.9405594405594405,0.8315301391035548
,
RANK,76,26.573426573426573,92,25.48476454293629,0.75,0.9078947368421053,0.8214285714285714
clause,76,100.0,92,100.0,0.75,0.9078947368421053,0.8214285714285714
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,210,73.42657342657343,269,74.51523545706371,0.7434944237918215,0.9523809523809523,0.8350730688935282
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,139,66.19047619047619,178,66.17100371747212,0.7415730337078652,0.9496402877697842,0.832807570977918
complement-direct,139,66.19047619047619,178,66.17100371747212,0.7415730337078652,0.9496402877697842,0.832807570977918
complement-indirect,139,66.19047619047619,178,66.17100371747212,0.7415730337078652,0.9496402877697842,0.832807570977918
predicator,71,33.80952380952381,91,33.82899628252788,0.7472527472527473,0.9577464788732394,0.839506172839506
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
