Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,140,,191,,0.680628272251309,0.9285714285714286,0.785498489425982
,
RANK,35,25.0,52,27.225130890052355,0.6346153846153846,0.9428571428571428,0.7586206896551724
clause,35,100.0,52,100.0,0.6346153846153846,0.9428571428571428,0.7586206896551724
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,105,75.0,139,72.77486910994764,0.697841726618705,0.9238095238095239,0.7950819672131149
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,70,66.66666666666666,87,62.589928057553955,0.7471264367816092,0.9285714285714286,0.8280254777070064
complement-direct,70,66.66666666666666,87,62.589928057553955,0.7471264367816092,0.9285714285714286,0.8280254777070064
complement-indirect,70,66.66666666666666,87,62.589928057553955,0.7471264367816092,0.9285714285714286,0.8280254777070064
predicator,35,33.33333333333333,52,37.410071942446045,0.6153846153846154,0.9142857142857143,0.7356321839080461
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
