,,Relaxed/Lambda Match Statistics
,Precission,0.18421052631578946
,Recall,0.5870967741935483
,F1,0.28043143297380585
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
7,4.0,"54, 75","50, 75",4,"I was the ""other"" guy","and I was the ""other"" guy",attributive,attributive
7,4.0,"54, 75","50, 75",4,"I was the ""other"" guy","and I was the ""other"" guy",relational,relational
4,0.0,"54, 55","54, 55",0,I,I,carrier,carrier
2,0.0,"31, 36","31, 36",0,dated,dated,main,main
6,0.0,"60, 75","60, 75",0,"the ""other"" guy","the ""other"" guy",attribute,attribute
5,0.0,"56, 59","56, 59",0,was,was,main,main
9,9.0,"83, 96","83, 87",9,made a choice,made,main,main
15,5.830951894845301,"126, 135","123, 130",8,pass away,to pass,main,main
16,12.0,"111, 135","123, 135",12,He happened to pass away,to pass away,action,action
18,4.0,"144, 152","148, 152",4,was left,left,main,main
35,0.0,"293, 297","293, 297",0,love,love,main,main
36,1.0,"298, 301","298, 302",1,her,her.,phenomenon,phenomenon
34,0.0,"285, 286","285, 286",0,I,I,emoter,emoter
29,74.51845409024533,"220, 254","163, 302",105,to seek my support would be unfair,She took on another man to help her with the grieving as to seek my support would be unfair which I disagree with because I truly love her.,relational,relational
24,86.0,"163, 216","163, 302",86,She took on another man to help her with the grieving,She took on another man to help her with the grieving as to seek my support would be unfair which I disagree with because I truly love her.,action,action
32,5.0,"263, 276","263, 271",5,disagree with,disagree,main,main
37,8.06225774829855,"285, 301","277, 302",9,I truly love her,because I truly love her.,mental,mental
21,0.0,"163, 166","163, 166",0,She,She,agent,agent
27,0.0,"245, 247","245, 247",0,be,be,main,main
23,3.0,"175, 186","172, 186",3,another man,on another man,affected,affected
22,3.0,"167, 174","167, 171",3,took on,took,main,main
44,0.0,"357, 360","357, 360",0,him,him,affected,affected
39,0.0,"307, 310","307, 310",0,had,had,main,main
49,0.0,"378, 381","378, 381",0,she,she,agent-carrier,agent-carrier
51,3.1622776601683795,"390, 392","387, 393",4,me,to me.,destination,destination
40,14.0,"311, 323","311, 337",14,two children,two children with this man,possessed,possessed
41,0.0,"303, 337","303, 337",0,She had two children with this man,She had two children with this man,relational,relational
41,0.0,"303, 337","303, 337",0,She had two children with this man,She had two children with this man,possessive,possessive
45,4.0,"342, 360","338, 360",4,has since left him,and has since left him,action,action
43,0.0,"352, 356","352, 356",0,left,left,main,main
38,0.0,"303, 306","303, 306",0,She,She,carrier,carrier
52,1.0,"378, 392","378, 393",1,she came to me,she came to me.,directional,directional
50,3.0,"382, 389","382, 386",3,came to,came,main,main
58,0.0,"427, 433","427, 433",0,lasted,lasted,main,main
53,0.0,"394, 396","394, 396",0,We,We,agent,agent
54,0.0,"397, 404","397, 404",0,started,started,main,main
55,0.0,"405, 419","405, 419",0,a relationship,a relationship,created-phenomenon,created-phenomenon
60,0.0,"457, 467","457, 467",0,Everything,Everything,carrier,carrier
61,0.0,"468, 471","468, 471",0,was,was,main,main
62,0.0,"472, 477","472, 477",0,great,great,attribute,attribute
63,1.0,"457, 504","457, 505",1,Everything was great up until the last 6 months,Everything was great up until the last 6 months.,attributive,attributive
63,1.0,"457, 504","457, 505",1,Everything was great up until the last 6 months,Everything was great up until the last 6 months.,relational,relational
66,1.0,"506, 550","506, 551",1,We never even had a fight for the first year,We never even had a fight for the first year.,action,action
64,0.0,"506, 508","506, 508",0,We,We,agent,agent
72,0.0,"597, 600","597, 600",0,was,was,main,main
71,4.0,"584, 596","580, 596",4,the fighting,... the fighting,carrier,carrier
70,20.0,"552, 580","572, 580",20,Two weeks ago I had to leave,to leave,action,action
78,43.68065933568311,"643, 658","601, 670",54,subjected to it,so bad and the children didn't need to be subjected to it any longer.,attribute,attribute
69,3.0,"575, 580","572, 580",3,leave,to leave,main,main
79,32.01562118716424,"612, 669","580, 670",33,the children didn't need to be subjected to it any longer,... the fighting was so bad and the children didn't need to be subjected to it any longer.,attributive,attributive
79,32.01562118716424,"612, 669","580, 670",33,the children didn't need to be subjected to it any longer,... the fighting was so bad and the children didn't need to be subjected to it any longer.,relational,relational
67,0.0,"566, 567","566, 567",0,I,I,agent,agent
87,29.274562336608895,"720, 766","716, 737",33,have some answers thanks to mars venus dot com,and have some answers,relational,relational
87,29.274562336608895,"720, 766","716, 737",33,have some answers thanks to mars venus dot com,and have some answers,possessive,possessive
85,0.0,"720, 724","720, 724",0,have,have,main,main
89,0.0,"777, 779","777, 779",0,is,is,main,main
90,1.0,"780, 797","780, 798",1,another situation,another situation.,carrier,carrier
86,0.0,"725, 737","725, 737",0,some answers,some answers,possessed,possessed
91,4.123105625617661,"771, 797","767, 798",5,there is another situation,but there is another situation.,locational,locational
82,13.0,"684, 703","684, 690",13,gained insight into,gained,main,main
113,33.015148038438355,"980, 1032","1013, 1033",34,I have caught her lying about it to save my feelings,to save my feelings.,influential,influential
97,0.0,"898, 905","898, 905",0,insists,insists,main,main
101,3.0,"923, 931","923, 928",3,going on,going,main,main
106,0.0,"956, 960","956, 960",0,want,want,main,main
107,0.0,"961, 975","961, 975",0,to believe her,to believe her,phenomenon,phenomenon
108,4.0,"936, 975","940, 975",4,for the most part I want to believe her,the most part I want to believe her,mental,mental
111,0.0,"987, 993","987, 993",0,caught,caught,main,main
105,0.0,"954, 955","954, 955",0,I,I,emoter,emoter
93,5.0,"807, 819","807, 814",5,latched onto,latched,main,main
115,12.0,"1038, 1055","1038, 1043",12,shows interest in,shows,main,main
157,5.0,"1146, 1150","1141, 1150",5,done,have done,main,main
118,34.713109915419565,"1083, 1164","1090, 1130",41,trying to work through our relationship the way we should have done to begin with,to work through our relationship the way,phenomenon,phenomenon
121,0.0,"1171, 1178","1171, 1178",0,entails,entails,main,main
146,4.0,"1436, 1440","1432, 1440",4,What,... What,phenomenon,phenomenon
150,4.123105625617661,"1436, 1453","1432, 1454",5,What do you think,... What do you think?,mental,mental
150,4.123105625617661,"1436, 1453","1432, 1454",5,What do you think,... What do you think?,two-role-cognition,two-role-cognition
137,6.708203932499369,"1340, 1346","1334, 1349",9,I left,until I left...,action,action
139,0.0,"1370, 1372","1370, 1372",0,is,is,main,main
149,0.0,"1448, 1453","1448, 1453",0,think,think,main,main
135,0.0,"1340, 1341","1340, 1341",0,I,I,agent,agent
134,9.0,"1322, 1333","1313, 1333",9,I loved her,how much I loved her,mental,mental
148,0.0,"1444, 1447","1444, 1447",0,you,you,cognizant,cognizant
131,0.0,"1322, 1323","1322, 1323",0,I,I,emoter,emoter
132,0.0,"1324, 1329","1324, 1329",0,loved,loved,main,main
136,0.0,"1342, 1346","1342, 1346",0,left,left,main,main
141,16.0,"1366, 1390","1350, 1390",16,she is with someone else,and not because she is with someone else,relational,relational
128,4.0,"1308, 1312","1304, 1312",4,know,n't know,main,main
143,13.0,"1411, 1428","1411, 1415",13,feel in love with,feel,main,main
133,0.0,"1330, 1333","1330, 1333",0,her,her,phenomenon,phenomenon
154,14.212670403551895,"1455, 1491","1464, 1480",20,Anything to clear the fog would help,to clear the fog,action,action
153,0.0,"1487, 1491","1487, 1491",0,help,help,main,main
,
,Manual mismatching all parsed (False Negative)
3,"17, 49",Shelley and I dated 13 years ago,action
1,"17, 30",Shelley and I,agent
12,"79, 109",she made a choice then for him,mental
8,"79, 82",she,emoter
11,"106, 109",him,phenomenon
13,"111, 113",He,affected
20,"140, 161",she was left grieving,influential
19,"153, 161",grieving,created-phenomenon
29,"220, 254",to seek my support would be unfair,attributive
25,"220, 238",to seek my support,carrier
28,"248, 254",unfair,attribute
33,"255, 276",which I disagree with,mental
30,"255, 260",which,phenomenon
31,"261, 262",I,emoter
48,"370, 377",she did,action
46,"370, 373",she,agent
52,"378, 392",she came to me,relational
56,"394, 419",We started a relationship,influential
59,"424, 455",it lasted approximately 3 years,action
57,"424, 426",it,agent
65,"520, 531",had a fight,main
74,"584, 607",the fighting was so bad,relational
74,"584, 607",the fighting was so bad,attributive
73,"601, 607",so bad,attribute
75,"612, 624",the children,carrier
77,"640, 642",be,main
84,"671, 715",I have since gained insight into the problem,mental
84,"671, 715",I have since gained insight into the problem,two-role-cognition
80,"671, 672",I,cognizant
83,"704, 715",the problem,phenomenon
91,"771, 797",there is another situation,relational
88,"771, 776",there,location
96,"799, 893",She has latched onto one of my guy friends as her friend to confide her feelings and talk with,action
95,"799, 802",She,agent
92,"820, 841",one of my guy friends,affected
99,"898, 931",insists there is nothing going on,mental
99,"898, 931",insists there is nothing going on,two-role-cognition
98,"906, 931",there is nothing going on,phenomenon
104,"906, 931",there is nothing going on,action
102,"915, 922",nothing,phenomenon
109,"980, 981",I,agent
112,"994, 1012",her lying about it,created-phenomenon
117,"1034, 1078",She shows interest in going back a few steps,mental
114,"1034, 1037",She,emoter
116,"1056, 1078",going back a few steps,phenomenon
119,"1083, 1164",trying to work through our relationship the way we should have done to begin with,mental
158,"1131, 1150",we should have done,action
17,"1131, 1133",we,agent
123,"1166, 1235",This entails spending time learning to read each others communication,event-relating
120,"1166, 1170",This,carrier
122,"1179, 1192",spending time,created-phenomenon
125,"1240, 1297",spending some hours each week discussing our relationship,event-relating
124,"1240, 1269",spending some hours each week,created-phenomenon
130,"1299, 1333",I didn't know how much I loved her,mental
130,"1299, 1333",I didn't know how much I loved her,two-role-cognition
126,"1299, 1300",I,cognizant
129,"1313, 1333",how much I loved her,phenomenon
141,"1366, 1390",she is with someone else,attributive
138,"1366, 1369",she,carrier
140,"1373, 1390",with someone else,attribute
145,"1403, 1432",I still feel in love with her,mental
142,"1403, 1404",I,emoter
144,"1429, 1432",her,phenomenon
151,"1455, 1480",Anything to clear the fog,created-phenomenon
,
,Parsed mismatching all manual (False Positives)
50,"50, 75","and I was the ""other"" guy",process
50,"50, 75","and I was the ""other"" guy",locational
54,"54, 55",I,affected-carrier
54,"54, 55",I,agent-carrier
102,"102, 110",for him.,affected-possessed
102,"102, 110",for him.,possessed
75,"75, 110",... she made a choice then for him.,process
75,"75, 110",... she made a choice then for him.,directional
75,"75, 110",... she made a choice then for him.,relational
75,"75, 110",... she made a choice then for him.,possessive
60,"60, 75","the ""other"" guy",location
75,"75, 82",... she,agent
75,"75, 82",... she,affected-carrier
75,"75, 82",... she,agent-carrier
75,"75, 82",... she,agent-perceiver
75,"75, 82",... she,carrier
75,"75, 82",... she,perceiver
88,"88, 96",a choice,destination
88,"88, 96",a choice,affected-destination
88,"88, 96",a choice,affected-possessed
88,"88, 96",a choice,possessed
153,"153, 161",grieving,main
114,"114, 122",happened,main
123,"123, 135",to pass away,process
123,"123, 135",to pass away,one-role-action
255,"255, 260",which,matchee
298,"298, 302",her.,created-phenomenon
195,"195, 198",her,phenomenon
195,"195, 198",her,affected-emoter
195,"195, 198",her,created-phenomenon
195,"195, 198",her,affected-path
195,"195, 198",her,affected-perceiver
195,"195, 198",her,affected-cognizant
195,"195, 198",her,affected-carrier
195,"195, 198",her,affected-destination
195,"195, 198",her,affected
195,"195, 198",her,affected-possessed
195,"195, 198",her,affected-source
195,"195, 198",her,carrier
285,"285, 286",I,affected-emoter
199,"199, 216",with the grieving,affected-emoter
199,"199, 216",with the grieving,affected-path
199,"199, 216",with the grieving,affected-perceiver
199,"199, 216",with the grieving,affected-cognizant
199,"199, 216",with the grieving,affected-carrier
199,"199, 216",with the grieving,affected-destination
199,"199, 216",with the grieving,affected
199,"199, 216",with the grieving,affected-possessed
199,"199, 216",with the grieving,affected-source
199,"199, 216",with the grieving,possessed
220,"220, 238",to seek my support,process
220,"220, 238",to seek my support,mental
220,"220, 238",to seek my support,two-role-cognition
187,"187, 194",to help,main
187,"187, 302",to help her with the grieving as to seek my support would be unfair which I disagree with because I truly love her.,process
187,"187, 302",to help her with the grieving as to seek my support would be unfair which I disagree with because I truly love her.,possessive
187,"187, 302",to help her with the grieving as to seek my support would be unfair which I disagree with because I truly love her.,two-role-action
187,"187, 302",to help her with the grieving as to seek my support would be unfair which I disagree with because I truly love her.,influential
187,"187, 302",to help her with the grieving as to seek my support would be unfair which I disagree with because I truly love her.,preventive
163,"163, 302",She took on another man to help her with the grieving as to seek my support would be unfair which I disagree with because I truly love her.,process
163,"163, 302",She took on another man to help her with the grieving as to seek my support would be unfair which I disagree with because I truly love her.,possessive
163,"163, 302",She took on another man to help her with the grieving as to seek my support would be unfair which I disagree with because I truly love her.,two-role-action
277,"277, 302",because I truly love her.,process
277,"277, 302",because I truly love her.,emotive
255,"255, 302",which I disagree with because I truly love her.,process
255,"255, 302",which I disagree with because I truly love her.,matching
255,"255, 302",which I disagree with because I truly love her.,relational
220,"220, 227",to seek,main
163,"163, 166",She,agent-cognizant
163,"163, 166",She,affected-carrier
163,"163, 166",She,agent-carrier
163,"163, 166",She,agent-perceiver
163,"163, 166",She,carrier
228,"228, 238",my support,phenomenon
228,"228, 238",my support,created-phenomenon
261,"261, 262",I,agent
261,"261, 262",I,affected-carrier
261,"261, 262",I,agent-carrier
261,"261, 262",I,agent-perceiver
261,"261, 262",I,carrier
261,"261, 262",I,perceiver
172,"172, 186",on another man,affected-emoter
172,"172, 186",on another man,affected-path
