Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,179,,273,,0.6043956043956044,0.9217877094972067,0.7300884955752213
,
INTERPERSONAL-FUNCTION,124,69.27374301675978,144,52.74725274725275,0.7777777777777778,0.9032258064516129,0.835820895522388
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,80,64.51612903225806,83,57.638888888888886,0.8433734939759037,0.875,0.8588957055214724
complement-direct,0,0.0,0,0.0,-1,-1,-1.0
complement-indirect,0,0.0,0,0.0,-1,-1,-1.0
predicator,44,35.483870967741936,61,42.36111111111111,0.6885245901639344,0.9545454545454546,0.8
,
GROUP-TYPE,55,30.726256983240223,69,25.274725274725274,0.7681159420289855,0.9636363636363636,0.8548387096774193
nominal-group,0,0.0,0,0.0,-1,-1,-1.0
verbal-group,55,100.0,69,100.0,0.7681159420289855,0.9636363636363636,0.8548387096774193
prepositional-group,0,0.0,0,0.0,-1,-1,-1.0
adverbial-group,0,0.0,0,0.0,-1,-1,-1.0
adjectival-group,0,0.0,0,0.0,-1,-1,-1.0
,
Mann <=> Auto Mapping,
process,clause
main,predicator
participant-role,"subject, complement"
verb,verbal-group
