,,Relaxed/Lambda Match Statistics
,Precission,0.24574209245742093
,Recall,0.643312101910828
,F1,0.3556338028169014
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
3,0.0,"29, 34","29, 34",0,spark,spark,main,main
8,0.0,"112, 116","112, 116",0,like,like,main,main
9,1.0,"117, 140","117, 141",1,to hold hands in public,to hold hands in public!,phenomenon,phenomenon
10,1.0,"67, 140","67, 141",1,My husband of 5 years does not ( never has ) like to hold hands in public,My husband of 5 years does not ( never has ) like to hold hands in public!,mental,mental
6,23.0,"67, 88","67, 111",23,My husband of 5 years,My husband of 5 years does not ( never has ),emoter,emoter
17,3.0,"168, 175","168, 172",3,used to,used,main,main
21,0.0,"200, 206","200, 206",0,wonder,wonder,main,main
25,0.0,"235, 239","235, 239",0,feel,feel,main,main
30,8.94427190999916,"258, 271","254, 263",12,reach out for,n't reach,main,main
36,1.0,"305, 326","305, 327",1,this direct rejection,this direct rejection.,phenomenon,phenomenon
37,11.045361017187261,"292, 326","281, 327",12,I don't want this direct rejection,anymore as I don't want this direct rejection.,mental,mental
35,4.0,"300, 304","296, 304",4,want,n't want,main,main
33,0.0,"292, 293","292, 293",0,I,I,emoter,emoter
40,0.0,"335, 339","335, 339",0,told,told,main,main
41,0.0,"340, 342","340, 342",0,me,me,affected-cognizant,affected-cognizant
42,5.0990195135927845,"348, 395","343, 396",6,"people know we are together, no need to show it","that people know we are together, no need to show it.",phenomenon,phenomenon
45,0.0,"355, 359","355, 359",0,know,know,main,main
43,1.0,"328, 395","328, 396",1,"He has told me that people know we are together, no need to show it","He has told me that people know we are together, no need to show it.",mental,mental
43,1.0,"328, 395","328, 396",1,"He has told me that people know we are together, no need to show it","He has told me that people know we are together, no need to show it.",three-role-cognition,three-role-cognition
44,0.0,"348, 354","348, 354",0,people,people,cognizant,cognizant
47,21.587033144922902,"348, 375","343, 396",26,people know we are together,"that people know we are together, no need to show it.",mental,mental
47,21.587033144922902,"348, 375","343, 396",26,people know we are together,"that people know we are together, no need to show it.",two-role-cognition,two-role-cognition
38,0.0,"328, 330","328, 330",0,He,He,agent,agent
52,0.0,"405, 407","405, 407",0,he,he,agent,agent
53,0.0,"408, 414","408, 414",0,trying,trying,main,main
54,1.0,"415, 421","415, 422",1,to say,to say?,phenomenon,phenomenon
59,0.0,"442, 448","442, 448",0,upsets,upsets,main,main
56,0.0,"452, 454","452, 454",0,is,is,main,main
70,0.0,"558, 563","558, 563",0,given,given,main,main
65,4.0,"473, 477","469, 477",4,want,n't want,main,main
72,19.0,"567, 585","567, 604",19,a little something,a little something for my birthday or,possessed,possessed
66,0.0,"478, 497","478, 497",0,to sound as a child,to sound as a child,phenomenon,phenomenon
71,0.0,"564, 566","564, 566",0,me,me,affected-carrier,affected-carrier
69,0.0,"555, 557","555, 557",0,he,he,agent,agent
67,1.0,"465, 497","465, 498",1,I don't want to sound as a child,"I don't want to sound as a child,",mental,mental
73,41.43669871020132,"503, 618","542, 604",53,never once in the 6 years we have been together has he given me a little something for my birthday or for Christmas,together has he given me a little something for my birthday or,relational,relational
73,41.43669871020132,"503, 618","542, 604",53,never once in the 6 years we have been together has he given me a little something for my birthday or for Christmas,together has he given me a little something for my birthday or,possessive,possessive
63,0.0,"465, 466","465, 466",0,I,I,emoter,emoter
93,1.0,"712, 714","712, 715",1,me,me.,affected,affected
92,0.0,"703, 711","703, 711",0,surprise,surprise,main,main
86,0.0,"683, 684","683, 684",0,I,I,emoter,emoter
79,0.0,"629, 633","629, 633",0,feel,feel,main,main
87,0.0,"685, 689","685, 689",0,hope,hope,main,main
89,4.123105625617661,"672, 714","668, 715",5,every year I hope that he will surprise me,and every year I hope that he will surprise me.,mental,mental
