Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,235,,298,,0.7281879194630873,0.9234042553191489,0.8142589118198874
,
RANK,60,25.53191489361702,78,26.174496644295303,0.7051282051282052,0.9166666666666666,0.7971014492753623
clause,60,100.0,78,100.0,0.7051282051282052,0.9166666666666666,0.7971014492753623
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,175,74.46808510638297,220,73.8255033557047,0.7363636363636363,0.9257142857142857,0.820253164556962
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,116,66.28571428571428,144,65.45454545454545,0.7430555555555556,0.9224137931034483,0.8230769230769232
complement-direct,116,66.28571428571428,144,65.45454545454545,0.7430555555555556,0.9224137931034483,0.8230769230769232
complement-indirect,116,66.28571428571428,144,65.45454545454545,0.7430555555555556,0.9224137931034483,0.8230769230769232
predicator,59,33.714285714285715,76,34.54545454545455,0.7236842105263158,0.9322033898305084,0.8148148148148149
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
