Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,169,,218,,0.7477064220183486,0.9644970414201184,0.8423772609819122
,
RANK,45,26.627218934911244,60,27.522935779816514,0.75,1.0,0.8571428571428571
clause,45,100.0,60,100.0,0.75,1.0,0.8571428571428571
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,124,73.37278106508876,158,72.47706422018348,0.7468354430379747,0.9516129032258065,0.8368794326241135
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,80,64.51612903225806,97,61.39240506329114,0.7835051546391752,0.95,0.8587570621468925
complement-direct,80,64.51612903225806,97,61.39240506329114,0.7835051546391752,0.95,0.8587570621468925
complement-indirect,80,64.51612903225806,97,61.39240506329114,0.7835051546391752,0.95,0.8587570621468925
predicator,44,35.483870967741936,61,38.607594936708864,0.6885245901639344,0.9545454545454546,0.8
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
