Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,131,,186,,0.6559139784946236,0.9312977099236641,0.7697160883280758
,
RANK,36,27.480916030534353,52,27.956989247311824,0.6538461538461539,0.9444444444444444,0.7727272727272727
clause,36,100.0,52,100.0,0.6538461538461539,0.9444444444444444,0.7727272727272727
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,95,72.51908396946564,134,72.04301075268818,0.6567164179104478,0.9263157894736842,0.7685589519650655
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,64,67.36842105263158,85,63.43283582089553,0.6823529411764706,0.90625,0.7785234899328859
complement-direct,64,67.36842105263158,85,63.43283582089553,0.6823529411764706,0.90625,0.7785234899328859
complement-indirect,64,67.36842105263158,85,63.43283582089553,0.6823529411764706,0.90625,0.7785234899328859
predicator,31,32.631578947368425,49,36.56716417910448,0.6122448979591837,0.967741935483871,0.75
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
