,,Relaxed/Lambda Match Statistics
,Precission,0.25327510917030566
,Recall,0.6304347826086957
,F1,0.36137071651090336
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
2,0.0,"32, 34","32, 34",0,is,is,main,main
11,0.0,"75, 80","75, 80",0,being,being,main,main
6,0.0,"56, 61","56, 61",0,think,think,main,main
13,1.0,"62, 111","62, 112",1,my spouse is being unfaithful to our relationship,my spouse is being unfaithful to our relationship.,relational,relational
5,0.0,"54, 55","54, 55",0,I,I,cognizant,cognizant
8,1.0,"54, 111","54, 112",1,I think my spouse is being unfaithful to our relationship,I think my spouse is being unfaithful to our relationship.,mental,mental
8,1.0,"54, 111","54, 112",1,I think my spouse is being unfaithful to our relationship,I think my spouse is being unfaithful to our relationship.,two-role-cognition,two-role-cognition
7,1.0,"62, 111","62, 112",1,my spouse is being unfaithful to our relationship,my spouse is being unfaithful to our relationship.,phenomenon,phenomenon
18,0.0,"146, 147","146, 147",0,I,I,carrier,carrier
15,0.0,"135, 137","135, 137",0,is,is,main,main
187,55.10898293381942,"124, 134","113, 188",65,I say this,The reason I say this is because I had a hunch and read some of her emails.,mental,mental
187,55.10898293381942,"124, 134","113, 188",65,I say this,The reason I say this is because I had a hunch and read some of her emails.,three-role-cognition,three-role-cognition
19,0.0,"148, 151","148, 151",0,had,had,main,main
20,0.0,"152, 159","152, 159",0,a hunch,a hunch,possessed,possessed
16,16.0312195418814,"146, 187","130, 188",17,I had a hunch and read some of her emails,this is because I had a hunch and read some of her emails.,phenomenon,phenomenon
22,0.0,"164, 168","164, 168",0,read,read,main,main
185,0.0,"126, 129","126, 129",0,say,say,main,main
23,14.0,"169, 187","169, 173",14,some of her emails,some,range,range
184,11.0,"124, 125","113, 125",11,I,The reason I,agent,agent
21,8.0,"146, 159","138, 159",8,I had a hunch,because I had a hunch,relational,relational
21,8.0,"146, 159","138, 159",8,I had a hunch,because I had a hunch,possessive,possessive
25,0.0,"203, 206","203, 206",0,she,she,agent,agent
29,0.0,"189, 235","189, 235",0,In her emails she was talking with another man,In her emails she was talking with another man,action,action
27,5.0,"211, 223","211, 218",5,talking with,talking,main,main
28,5.0,"224, 235","219, 235",5,another man,with another man,affected,affected
34,4.0,"240, 272","236, 272",4,they were using sexual innuendos,and they were using sexual innuendos,action,action
40,0.0,"290, 297","290, 297",0,spelled,spelled,main,main
30,0.0,"240, 244","240, 244",0,they,they,agent,agent
32,0.0,"250, 255","250, 255",0,using,using,main,main
36,4.0,"280, 284","276, 284",4,know,n't know,main,main
48,0.0,"358, 361","358, 361",0,are,are,main,main
45,11.0,"320, 331","320, 342",11,this person,this person about once,affected,affected
43,0.0,"311, 314","311, 314",0,She,She,agent,agent
47,0.0,"353, 357","353, 357",0,they,they,carrier,carrier
44,0.0,"315, 319","315, 319",0,sees,sees,main,main
72,1.0,"476, 478","476, 479",1,me,me.,affected,affected
57,0.0,"405, 406","405, 406",0,I,I,agent,agent
65,0.0,"447, 448","447, 448",0,I,I,agent,agent
55,7.0,"405, 421","412, 421",7,I read her email,her email,phenomenon,phenomenon
59,0.0,"412, 421","412, 421",0,her email,her email,range,range
69,0.0,"460, 463","460, 463",0,she,she,agent,agent
56,60.440052945046304,"388, 421","405, 479",58,I can't tell her I read her email,I read her email because if she found out I was spying she would leave me.,three-role-cognition,three-role-cognition
51,0.0,"388, 389","388, 389",0,I,I,agent,agent
68,0.0,"447, 459","447, 459",0,I was spying,I was spying,action,action
61,0.0,"433, 436","433, 436",0,she,she,cognizant,cognizant
64,3.0,"433, 459","430, 459",3,she found out I was spying,if she found out I was spying,mental,mental
64,3.0,"433, 459","430, 459",3,she found out I was spying,if she found out I was spying,two-role-cognition,two-role-cognition
62,4.0,"437, 446","437, 442",4,found out,found,main,main
58,0.0,"407, 411","407, 411",0,read,read,main,main
53,4.0,"396, 400","392, 400",4,tell,n't tell,main,main
71,0.0,"470, 475","470, 475",0,leave,leave,main,main
63,0.0,"447, 459","447, 459",0,I was spying,I was spying,phenomenon,phenomenon
188,70.06425622241343,"500, 522","497, 592",73,something was going on,if something was going on being very selective about how so that she wouldn't suspect anything.,action,action
182,5.0,"510, 522","514, 519",7,was going on,going,main,main
76,0.0,"487, 492","487, 492",0,asked,asked,main,main
74,0.0,"480, 481","480, 481",0,I,I,agent,agent
85,4.0,"575, 582","571, 582",4,suspect,n't suspect,main,main
77,0.0,"493, 496","493, 496",0,her,her,affected-cognizant,affected-cognizant
86,1.0,"583, 591","583, 592",1,anything,anything.,phenomenon,phenomenon
79,70.0,"480, 522","480, 592",70,I have asked her if something was going on,I have asked her if something was going on being very selective about how so that she wouldn't suspect anything.,mental,mental
79,70.0,"480, 522","480, 592",70,I have asked her if something was going on,I have asked her if something was going on being very selective about how so that she wouldn't suspect anything.,three-role-cognition,three-role-cognition
93,0.0,"642, 649","642, 649",0,started,started,main,main
94,18.788294228055936,"625, 661","617, 678",25,our relationship started 5 years ago,because our relationship started 5 years ago when she cheated,action,action
89,5.0,"595, 604","595, 599",5,feel like,feel,main,main
90,5.0,"605, 616","600, 616",5,such a fool,like such a fool,attribute,attribute
96,3.0,"671, 681","671, 678",3,cheated on,cheated,main,main
91,81.0,"593, 616","593, 697",81,I feel like such a fool,I feel like such a fool because our relationship started 5 years ago when she cheated on her ex with me.,attributive,attributive
