,,Relaxed/Lambda Match Statistics
,Precission,0.7281879194630873
,Recall,0.9234042553191489
,F1,0.8142589118198874
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
1,0.0,"20, 21","20, 21",0,I,I,participant-role,participant-role
2,0.0,"22, 24","22, 24",0,am,am,main,main
165,12.041594578792296,"32, 84","20, 85",13,have been part of the Yahoo group for about 6 months,I am 29 and have been part of the Yahoo group for about 6 months.,configuration,configuration
6,20.0,"42, 65","42, 85",20,part of the Yahoo group,part of the Yahoo group for about 6 months.,participant-role,participant-role
11,1.0,"118, 151","118, 152",1,many parts of what you are saying,many parts of what you are saying.,participant-role,participant-role
12,4.123105625617661,"107, 151","103, 152",5,understand many parts of what you are saying,and understand many parts of what you are saying.,configuration,configuration
9,0.0,"93, 102","93, 102",0,your post,your post,participant-role,participant-role
251,0.0,"137, 140","137, 140",0,you,you,participant-role,participant-role
254,1.0,"132, 151","132, 152",1,what you are saying,what you are saying.,configuration,configuration
7,0.0,"86, 87","86, 87",0,I,I,participant-role,participant-role
10,0.0,"107, 117","107, 117",0,understand,understand,main,main
253,0.0,"145, 151","145, 151",0,saying,saying,main,main
197,0.0,"132, 136","132, 136",0,what,what,participant-role,participant-role
8,0.0,"88, 92","88, 92",0,read,read,main,main
166,0.0,"86, 102","86, 102",0,I read your post,I read your post,configuration,configuration
19,20.024984394500787,"186, 196","166, 197",21,overweight,most of my twenties overweight.,participant-role,participant-role
18,0.0,"160, 165","160, 165",0,lived,lived,main,main
13,1.0,"153, 196","153, 197",1,I have lived most of my twenties overweight,I have lived most of my twenties overweight.,configuration,configuration
16,0.0,"153, 154","153, 154",0,I,I,participant-role,participant-role
231,0.0,"265, 266","265, 266",0,I,I,participant-role,participant-role
24,2.0,"283, 284","281, 284",2,I,", I",participant-role,participant-role
25,0.0,"285, 292","285, 292",0,decided,decided,main,main
232,0.0,"267, 270","267, 270",0,was,was,main,main
22,0.0,"252, 254","252, 254",0,me,me,participant-role,participant-role
14,29.0,"198, 281","198, 310",29,After a 4-year-relationship with someone who reminded me every day I was overweight,"After a 4-year-relationship with someone who reminded me every day I was overweight, I decided to get on a diet.",configuration,configuration
26,1.0,"293, 309","293, 310",1,to get on a diet,to get on a diet.,participant-role,participant-role
15,10.04987562112089,"283, 309","293, 310",11,I decided to get on a diet,to get on a diet.,configuration,configuration
234,11.0,"265, 281","265, 270",11,I was overweight,I was,configuration,configuration
20,0.0,"239, 242","239, 242",0,who,who,participant-role,participant-role
21,0.0,"243, 251","243, 251",0,reminded,reminded,main,main
23,61.0,"265, 281","204, 281",61,I was overweight,a 4-year-relationship with someone who reminded me every day I was overweight,participant-role,participant-role
28,0.0,"314, 321","314, 321",0,started,started,main,main
27,0.0,"311, 313","311, 313",0,It,It,participant-role,participant-role
167,1.0,"311, 339","311, 340",1,It started innocently enough,It started innocently enough.,configuration,configuration
168,1.0,"341, 385","341, 386",1,Someone I knew lost 150 pounds on the Atkins,Someone I knew lost 150 pounds on the Atkins.,configuration,configuration
31,0.0,"356, 360","356, 360",0,lost,lost,main,main
32,0.0,"361, 371","361, 371",0,150 pounds,150 pounds,participant-role,participant-role
30,0.0,"341, 355","341, 355",0,Someone I knew,Someone I knew,participant-role,participant-role
169,1.0,"387, 457","387, 458",1,I have read that for many it starts with a simple diet that goes wrong,I have read that for many it starts with a simple diet that goes wrong.,configuration,configuration
37,0.0,"416, 422","416, 422",0,starts,starts,main,main
35,0.0,"394, 398","394, 398",0,read,read,main,main
36,0.0,"413, 415","413, 415",0,it,it,participant-role,participant-role
38,5.0990195135927845,"404, 457","399, 458",6,for many it starts with a simple diet that goes wrong,that for many it starts with a simple diet that goes wrong.,configuration,configuration
29,5.0990195135927845,"404, 457","399, 458",6,for many it starts with a simple diet that goes wrong,that for many it starts with a simple diet that goes wrong.,participant-role,participant-role
33,0.0,"387, 388","387, 388",0,I,I,participant-role,participant-role
44,6.082762530298219,"472, 481","466, 482",7,80 pounds,about 80 pounds.,participant-role,participant-role
42,0.0,"459, 460","459, 460",0,I,I,participant-role,participant-role
172,1.0,"459, 481","459, 482",1,I lost about 80 pounds,I lost about 80 pounds.,configuration,configuration
43,0.0,"461, 465","461, 465",0,lost,lost,main,main
173,1.0,"483, 506","483, 507",1,People congratulated me,People congratulated me.,configuration,configuration
45,0.0,"483, 489","483, 489",0,People,People,participant-role,participant-role
47,1.0,"504, 506","504, 507",1,me,me.,participant-role,participant-role
46,0.0,"490, 503","490, 503",0,congratulated,congratulated,main,main
48,0.0,"513, 514","513, 514",0,I,I,participant-role,participant-role
174,5.0990195135927845,"513, 524","508, 525",6,I plateaued,Then I plateaued.,configuration,configuration
49,0.0,"515, 524","515, 524",0,plateaued,plateaued,main,main
53,1.0,"548, 561","548, 562",1,another pound,another pound.,participant-role,participant-role
50,0.0,"526, 527","526, 527",0,I,I,participant-role,participant-role
52,4.0,"543, 547","539, 547",4,lose,not lose,main,main
170,0.0,"578, 588","578, 588",0,I was fine,I was fine,configuration,configuration
40,0.0,"580, 583","580, 583",0,was,was,main,main
54,0.0,"563, 569","563, 569",0,People,People,participant-role,participant-role
60,4.0,"604, 608","600, 608",4,want,not want,main,main
39,0.0,"578, 579","578, 579",0,I,I,participant-role,participant-role
177,4.123105625617661,"594, 619","590, 620",5,I did not want to be fine,but I did not want to be fine.,configuration,configuration
176,11.0,"563, 588","563, 577",11,People told me I was fine,People told me,configuration,configuration
41,0.0,"584, 588","584, 588",0,fine,fine,participant-role,participant-role
58,0.0,"594, 595","594, 595",0,I,I,participant-role,participant-role
56,0.0,"575, 577","575, 577",0,me,me,participant-role,participant-role
61,1.0,"609, 619","609, 620",1,to be fine,to be fine.,participant-role,participant-role
55,0.0,"570, 574","570, 574",0,told,told,main,main
63,0.0,"623, 627","623, 627",0,knew,knew,main,main
64,5.0,"633, 674","628, 674",5,without clothes I still had bulges of fat,that without clothes I still had bulges of fat,participant-role,participant-role
202,0.0,"657, 660","657, 660",0,had,had,main,main
65,0.0,"679, 681","679, 681",0,it,it,participant-role,participant-role
66,0.0,"682, 690","682, 690",0,bothered,bothered,main,main
67,1.0,"691, 693","691, 694",1,me,me.,participant-role,participant-role
178,0.0,"621, 674","621, 674",0,I knew that without clothes I still had bulges of fat,I knew that without clothes I still had bulges of fat,configuration,configuration
203,0.0,"661, 674","661, 674",0,bulges of fat,bulges of fat,participant-role,participant-role
62,0.0,"621, 622","621, 622",0,I,I,participant-role,participant-role
179,4.123105625617661,"679, 693","675, 694",5,it bothered me,and it bothered me.,configuration,configuration
201,0.0,"649, 650","649, 650",0,I,I,participant-role,participant-role
69,0.0,"710, 717","710, 717",0,started,started,main,main
171,0.0,"695, 699","695, 699",0,Here,Here,participant-role,participant-role
235,0.0,"700, 702","700, 702",0,is,is,main,main
71,5.0990195135927845,"708, 743","703, 744",6,I started to go down the wrong path,when I started to go down the wrong path.,configuration,configuration
70,1.0,"718, 743","718, 744",1,to go down the wrong path,to go down the wrong path.,participant-role,participant-role
68,0.0,"708, 709","708, 709",0,I,I,participant-role,participant-role
237,1.0,"695, 743","695, 744",1,Here is when I started to go down the wrong path,Here is when I started to go down the wrong path.,configuration,configuration
180,10.0,"745, 785","755, 785",10,I started picking foods I felt were safe,picking foods I felt were safe,configuration,configuration
77,0.0,"769, 785","769, 785",0,I felt were safe,I felt were safe,configuration,configuration
76,0.0,"776, 785","776, 785",0,were safe,were safe,participant-role,participant-role
181,1.0,"803, 807","803, 808",1,them,them.,participant-role,participant-role
74,8.0,"755, 785","763, 785",8,picking foods I felt were safe,foods I felt were safe,participant-role,participant-role
72,0.0,"745, 746","745, 746",0,I,I,participant-role,participant-role
73,0.0,"747, 754","747, 754",0,started,started,main,main
75,0.0,"795, 802","795, 802",0,purging,purging,main,main
182,9.055385138137417,"795, 807","786, 808",10,purging them,and then purging them.,configuration,configuration
205,0.0,"769, 770","769, 770",0,I,I,participant-role,participant-role
206,0.0,"771, 775","771, 775",0,felt,felt,main,main
78,6.0,"832, 842","832, 836",6,some of it,some,participant-role,participant-role
209,0.0,"820, 823","820, 823",0,was,was,main,main
84,1.0,"888, 896","888, 897",1,low carb,low carb.,participant-role,participant-role
82,0.0,"881, 883","881, 883",0,it,it,participant-role,participant-role
210,1.0,"809, 896","809, 897",1,My thought was even if some of it did get into my blood stream at least it was low carb,My thought was even if some of it did get into my blood stream at least it was low carb.,configuration,configuration
208,0.0,"809, 819","809, 819",0,My thought,My thought,participant-role,participant-role
80,0.0,"847, 850","847, 850",0,get,get,main,main
81,0.0,"851, 871","851, 871",0,into my blood stream,into my blood stream,participant-role,participant-role
183,27.202941017470888,"832, 871","840, 897",34,some of it did get into my blood stream,it did get into my blood stream at least it was low carb.,configuration,configuration
186,10.0,"938, 964","948, 964",10,I started to look for help,to look for help,configuration,configuration
187,24.020824298928627,"966, 1001","990, 1002",25,all the programs seemed to be women,to be women.,configuration,configuration
92,2.0,"966, 982","964, 982",2,all the programs,", all the programs",participant-role,participant-role
91,0.0,"948, 964","948, 964",0,to look for help,to look for help,participant-role,participant-role
94,1.0,"996, 1001","996, 1002",1,women,women.,participant-role,participant-role
238,3.0,"993, 995","990, 995",3,be,to be,main,main
185,23.0,"898, 928","898, 905",23,Purging has been a big problem,Purging,configuration,configuration
87,0.0,"910, 914","910, 914",0,been,been,main,main
89,0.0,"938, 939","938, 939",0,I,I,participant-role,participant-role
188,1.0,"1003, 1097","1003, 1098",1,I did not want to go to a support group surrounded by women sharing thoughts of chocolate cake,I did not want to go to a support group surrounded by women sharing thoughts of chocolate cake.,configuration,configuration
97,4.0,"1013, 1017","1009, 1017",4,want,not want,main,main
