,,Relaxed/Lambda Match Statistics
,Precission,0.775
,Recall,0.9323308270676691
,F1,0.8464163822525597
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
128,0.0,"68, 69","68, 69",0,I,I,participant-role,participant-role
6,0.0,"62, 67","62, 67",0,seems,seems,main,main
1,0.0,"21, 22","21, 22",0,I,I,participant-role,participant-role
7,1.0,"68, 92","68, 93",1,I'm hurting those I love,I'm hurting those I love.,participant-role,participant-role
132,1.0,"68, 92","68, 93",1,I'm hurting those I love,I'm hurting those I love.,configuration,configuration
131,1.0,"80, 92","80, 93",1,those I love,those I love.,participant-role,participant-role
8,4.123105625617661,"59, 92","55, 93",5,it seems I'm hurting those I love,and it seems I'm hurting those I love.,configuration,configuration
4,0.0,"21, 54","21, 54",0,I'm really confused at the moment,I'm really confused at the moment,configuration,configuration
5,0.0,"59, 61","59, 61",0,it,it,participant-role,participant-role
130,0.0,"72, 79","72, 79",0,hurting,hurting,main,main
14,0.0,"154, 158","154, 158",0,miss,miss,main,main
9,0.0,"94, 117","94, 117",0,My boyfriend of 3 years,My boyfriend of 3 years,participant-role,participant-role
11,5.0,"132, 134","127, 134",5,me,with me,participant-role,participant-role
13,0.0,"152, 153","152, 153",0,I,I,participant-role,participant-role
15,0.0,"159, 162","159, 162",0,him,him,participant-role,participant-role
10,8.0,"118, 131","118, 123",8,broke up with,broke,main,main
12,0.0,"94, 147","94, 147",0,My boyfriend of 3 years broke up with me 6 months ago,My boyfriend of 3 years broke up with me 6 months ago,configuration,configuration
16,4.123105625617661,"152, 170","148, 171",5,I miss him so much,and I miss him so much.,configuration,configuration
134,0.0,"222, 225","222, 225",0,was,was,main,main
17,0.0,"172, 174","172, 174",0,We,We,participant-role,participant-role
135,1.0,"226, 238","226, 239",1,my soul mate,my soul mate.,participant-role,participant-role
20,9.0,"187, 204","187, 195",9,a future together,a future,participant-role,participant-role
23,0.0,"211, 218","211, 218",0,thought,thought,main,main
21,0.0,"172, 204","172, 204",0,We had planned a future together,We had planned a future together,configuration,configuration
25,4.123105625617661,"209, 238","205, 239",5,I thought he was my soul mate,and I thought he was my soul mate.,configuration,configuration
19,0.0,"179, 186","179, 186",0,planned,planned,main,main
22,0.0,"209, 210","209, 210",0,I,I,participant-role,participant-role
133,0.0,"219, 221","219, 221",0,he,he,participant-role,participant-role
24,1.0,"219, 238","219, 239",1,he was my soul mate,he was my soul mate.,participant-role,participant-role
136,1.0,"219, 238","219, 239",1,he was my soul mate,he was my soul mate.,configuration,configuration
31,0.0,"290, 291","290, 291",0,I,I,participant-role,participant-role
