Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,166,,195,,0.7846153846153846,0.9216867469879518,0.8476454293628809
,
RANK,44,26.506024096385545,50,25.64102564102564,0.82,0.9318181818181818,0.8723404255319149
clause,44,100.0,50,100.0,0.82,0.9318181818181818,0.8723404255319149
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,122,73.49397590361446,145,74.35897435897436,0.7724137931034483,0.9180327868852459,0.8389513108614233
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,78,63.934426229508205,94,64.82758620689654,0.7659574468085106,0.9230769230769231,0.8372093023255814
complement-direct,78,63.934426229508205,94,64.82758620689654,0.7659574468085106,0.9230769230769231,0.8372093023255814
complement-indirect,78,63.934426229508205,94,64.82758620689654,0.7659574468085106,0.9230769230769231,0.8372093023255814
predicator,44,36.0655737704918,51,35.172413793103445,0.7843137254901961,0.9090909090909091,0.8421052631578948
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
