Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,113,,138,,0.7898550724637681,0.9646017699115044,0.8685258964143426
,
RANK,30,26.548672566371685,36,26.08695652173913,0.7777777777777778,0.9333333333333333,0.8484848484848485
clause,30,100.0,36,100.0,0.7777777777777778,0.9333333333333333,0.8484848484848485
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,83,73.45132743362832,102,73.91304347826086,0.7941176470588235,0.9759036144578314,0.8756756756756757
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,54,65.06024096385542,65,63.725490196078425,0.8,0.9629629629629629,0.8739495798319328
complement-direct,54,65.06024096385542,65,63.725490196078425,0.8,0.9629629629629629,0.8739495798319328
complement-indirect,54,65.06024096385542,65,63.725490196078425,0.8,0.9629629629629629,0.8739495798319328
predicator,29,34.93975903614458,37,36.27450980392157,0.7837837837837838,1.0,0.8787878787878788
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
