Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,159,,214,,0.6869158878504673,0.9245283018867925,0.7882037533512065
,
RANK,43,27.044025157232703,58,27.102803738317753,0.7241379310344828,0.9767441860465116,0.8316831683168318
clause,43,100.0,58,100.0,0.7241379310344828,0.9767441860465116,0.8316831683168318
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,116,72.95597484276729,156,72.89719626168224,0.6730769230769231,0.9051724137931034,0.7720588235294119
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,73,62.93103448275862,98,62.82051282051282,0.673469387755102,0.9041095890410958,0.7719298245614035
complement-direct,73,62.93103448275862,98,62.82051282051282,0.673469387755102,0.9041095890410958,0.7719298245614035
complement-indirect,73,62.93103448275862,98,62.82051282051282,0.673469387755102,0.9041095890410958,0.7719298245614035
predicator,43,37.06896551724138,58,37.17948717948718,0.6724137931034483,0.9069767441860465,0.7722772277227723
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
