,,Relaxed/Lambda Match Statistics
,Precission,0.7846153846153846
,Recall,0.9216867469879518
,F1,0.8476454293628809
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
4,4.123105625617661,"27, 52","23, 53",5,this is really hard to do,Boy this is really hard to do.,configuration,configuration
1,0.0,"27, 31","27, 31",0,this,this,participant-role,participant-role
3,5.0990195135927845,"42, 52","47, 53",6,hard to do,to do.,participant-role,participant-role
2,0.0,"32, 34","32, 34",0,is,is,main,main
11,0.0,"75, 80","75, 80",0,being,being,main,main
6,0.0,"56, 61","56, 61",0,think,think,main,main
13,1.0,"62, 111","62, 112",1,my spouse is being unfaithful to our relationship,my spouse is being unfaithful to our relationship.,configuration,configuration
5,0.0,"54, 55","54, 55",0,I,I,participant-role,participant-role
12,11.045361017187261,"81, 111","92, 112",12,unfaithful to our relationship,to our relationship.,participant-role,participant-role
8,1.0,"54, 111","54, 112",1,I think my spouse is being unfaithful to our relationship,I think my spouse is being unfaithful to our relationship.,configuration,configuration
9,0.0,"62, 71","62, 71",0,my spouse,my spouse,participant-role,participant-role
7,1.0,"62, 111","62, 112",1,my spouse is being unfaithful to our relationship,my spouse is being unfaithful to our relationship.,participant-role,participant-role
18,0.0,"146, 147","146, 147",0,I,I,participant-role,participant-role
15,0.0,"135, 137","135, 137",0,is,is,main,main
23,5.0990195135927845,"169, 187","174, 188",6,some of her emails,of her emails.,participant-role,participant-role
17,1.0,"113, 187","113, 188",1,The reason I say this is because I had a hunch and read some of her emails,The reason I say this is because I had a hunch and read some of her emails.,configuration,configuration
19,0.0,"148, 151","148, 151",0,had,had,main,main
24,4.123105625617661,"164, 187","160, 188",5,read some of her emails,and read some of her emails.,configuration,configuration
20,0.0,"152, 159","152, 159",0,a hunch,a hunch,participant-role,participant-role
16,16.0312195418814,"146, 187","130, 188",17,I had a hunch and read some of her emails,this is because I had a hunch and read some of her emails.,participant-role,participant-role
186,0.0,"130, 134","130, 134",0,this,this,participant-role,participant-role
22,0.0,"164, 168","164, 168",0,read,read,main,main
185,0.0,"126, 129","126, 129",0,say,say,main,main
14,9.0,"113, 134","113, 125",9,The reason I say this,The reason I,participant-role,participant-role
21,8.0,"146, 159","138, 159",8,I had a hunch,because I had a hunch,configuration,configuration
25,0.0,"203, 206","203, 206",0,she,she,participant-role,participant-role
38,4.123105625617661,"274, 306","273, 310",5,don't know if I spelled it right,(don't know if I spelled it right ) .,configuration,configuration
42,3.0,"288, 306","285, 306",3,I spelled it right,if I spelled it right,configuration,configuration
29,0.0,"189, 235","189, 235",0,In her emails she was talking with another man,In her emails she was talking with another man,configuration,configuration
39,0.0,"288, 289","288, 289",0,I,I,participant-role,participant-role
27,5.0,"211, 223","211, 218",5,talking with,talking,main,main
