Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,191,,244,,0.6967213114754098,0.8900523560209425,0.7816091954022988
,
RANK,50,26.17801047120419,68,27.86885245901639,0.6764705882352942,0.92,0.7796610169491526
clause,50,100.0,68,100.0,0.6764705882352942,0.92,0.7796610169491526
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,141,73.82198952879581,176,72.1311475409836,0.7045454545454546,0.8794326241134752,0.7823343848580443
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,93,65.95744680851064,110,62.5,0.7363636363636363,0.8709677419354839,0.7980295566502462
complement-direct,93,65.95744680851064,110,62.5,0.7363636363636363,0.8709677419354839,0.7980295566502462
complement-indirect,93,65.95744680851064,110,62.5,0.7363636363636363,0.8709677419354839,0.7980295566502462
predicator,48,34.04255319148936,66,37.5,0.6515151515151515,0.8958333333333334,0.7543859649122807
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
