Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,131,,153,,0.803921568627451,0.9389312977099237,0.8661971830985915
,
RANK,36,27.480916030534353,41,26.797385620915033,0.7804878048780488,0.8888888888888888,0.8311688311688312
clause,36,100.0,41,100.0,0.7804878048780488,0.8888888888888888,0.8311688311688312
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,95,72.51908396946564,112,73.20261437908496,0.8125,0.9578947368421052,0.8792270531400966
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,59,62.10526315789474,72,64.28571428571429,0.7916666666666666,0.9661016949152542,0.8702290076335878
complement-direct,59,62.10526315789474,72,64.28571428571429,0.7916666666666666,0.9661016949152542,0.8702290076335878
complement-indirect,59,62.10526315789474,72,64.28571428571429,0.7916666666666666,0.9661016949152542,0.8702290076335878
predicator,36,37.89473684210527,40,35.714285714285715,0.85,0.9444444444444444,0.8947368421052632
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
