,,Relaxed/Lambda Match Statistics
,Precission,0.2045050385299348
,Recall,0.5555555555555556
,F1,0.2989601386481803
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
4,0.0,"56, 59","56, 59",0,ate,ate,main,main
5,5.0,"60, 90","65, 90",5,some of my son's birthday cake,of my son's birthday cake,affected,affected
541,4.0,"162, 166","158, 166",4,rest,n't rest,main,main
539,0.0,"151, 152","151, 152",0,I,I,agent,agent
7,0.0,"96, 99","96, 99",0,was,was,main,main
16,0.0,"173, 174","173, 174",0,I,I,agent,agent
2,16.0,"31, 51","31, 35",16,gave into temptation,gave,main,main
1,4.0,"29, 30","25, 30",4,I,", 
I",agent,agent
12,6.082762530298219,"173, 183","167, 184",7,I had some,until I had some.,action,action
173,4.0,"56, 90","52, 90",4,ate some of my son's birthday cake,and ate some of my son's birthday cake,action,action
17,0.0,"175, 178","175, 178",0,had,had,main,main
542,62.6418390534633,"151, 166","91, 184",78,I wouldn't rest,- it was a chocolate cake from a fabulous bakery and I knew I wouldn't rest until I had some.,action,action
18,1.0,"179, 183","179, 184",1,some,some.,affected,affected
20,0.0,"187, 191","187, 191",0,kept,kept,main,main
21,1.0,"192, 222","192, 223",1,thinking about it all the time,thinking about it all the time!,phenomenon,phenomenon
19,0.0,"185, 186","185, 186",0,I,I,agent,agent
13,1.0,"185, 222","185, 223",1,I kept thinking about it all the time,I kept thinking about it all the time!,influential,influential
180,87.28115489611719,"357, 385","274, 412",110,OK to have just a little bit,"new at this and still terrified of binges, but my DH persuaded me that it would be OK to have just a little bit ( he's very supportive ) .",attribute,attribute
33,96.42613753542138,"337, 339","274, 412",136,me,"new at this and still terrified of binges, but my DH persuaded me that it would be OK to have just a little bit ( he's very supportive ) .",affected-cognizant,affected-cognizant
15,15.0,"233, 261","248, 261",15,I wasn't going to go near it,to go near it,directional,directional
15,15.0,"233, 261","248, 261",15,I wasn't going to go near it,to go near it,relational,relational
25,35.4682957019364,"345, 385","368, 412",33,it would be OK to have just a little bit,just a little bit ( he's very supportive ) .,phenomenon,phenomenon
179,0.0,"354, 356","354, 356",0,be,be,main,main
24,3.0,"251, 253","248, 253",3,go,to go,main,main
