,,Relaxed/Lambda Match Statistics
,Precission,0.7844311377245509
,Recall,0.8618421052631579
,F1,0.8213166144200627
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
4,8.06225774829855,"28, 44","20, 45",9,I am new to this,"Hi all, I am new to this.",configuration,configuration
3,8.0,"33, 44","33, 36",8,new to this,new,participant-role,participant-role
2,0.0,"30, 32","30, 32",0,am,am,main,main
1,2.0,"28, 29","26, 29",2,I,", I",participant-role,participant-role
12,33.0,"107, 127","107, 160",33,a 30 year old female,a 30 year old female for more than a year and a half.,participant-role,participant-role
9,0.0,"88, 89","88, 89",0,I,I,participant-role,participant-role
13,42.01190307520001,"88, 159","46, 160",43,I have been dating a 30 year old female for more than a year and a half,"To start off, I am a 29 year old male and I have been dating a 30 year old female for more than a year and a half.",configuration,configuration
6,0.0,"62, 64","62, 64",0,am,am,main,main
5,2.0,"60, 61","58, 61",2,I,", I",participant-role,participant-role
24,28.0178514522438,"226, 277","254, 278",29,now have lived near her for the past 7 months or so,the past 7 months or so.,configuration,configuration
22,0.0,"235, 240","235, 240",0,lived,lived,main,main
14,0.0,"161, 175","161, 175",0,The first year,The first year,participant-role,participant-role
15,0.0,"176, 179","176, 179",0,was,was,main,main
16,40.0,"180, 209","180, 249",40,long distance ( 200 + miles ),long distance ( 200 + miles ) and I moved and now have lived near her,participant-role,participant-role
18,0.0,"214, 215","214, 215",0,I,I,participant-role,participant-role
17,69.0,"161, 209","161, 278",69,The first year was long distance ( 200 + miles ),The first year was long distance ( 200 + miles ) and I moved and now have lived near her for the past 7 months or so.,configuration,configuration
32,0.0,"322, 323","322, 323",0,I,I,participant-role,participant-role
39,11.045361017187261,"333, 353","344, 354",12,everything was great,was great.,configuration,configuration
26,0.0,"282, 285","282, 285",0,had,had,main,main
33,0.0,"324, 327","324, 327",0,was,was,main,main
36,11.0,"333, 343","333, 354",11,everything,everything was great.,participant-role,participant-role
25,0.0,"279, 281","279, 281",0,We,We,participant-role,participant-role
30,0.0,"307, 312","307, 312",0,moved,moved,main,main
38,1.0,"348, 353","348, 354",1,great,great.,participant-role,participant-role
27,0.0,"286, 297","286, 297",0,some issues,some issues,participant-role,participant-role
31,7.0,"305, 312","298, 312",7,I moved,before I moved,configuration,configuration
28,0.0,"279, 297","279, 297",0,We had some issues,We had some issues,configuration,configuration
29,0.0,"305, 306","305, 306",0,I,I,participant-role,participant-role
35,22.360679774997898,"317, 332","313, 354",26,once I was here,and once I was here everything was great.,configuration,configuration
37,0.0,"344, 347","344, 347",0,was,was,main,main
42,1.0,"392, 398","392, 399",1,to die,to die.,participant-role,participant-role
40,0.0,"372, 383","372, 383",0,the passion,the passion,participant-role,participant-role
41,0.0,"384, 391","384, 391",0,started,started,main,main
43,1.0,"355, 398","355, 399",1,A few months ago the passion started to die,A few months ago the passion started to die.,configuration,configuration
45,0.0,"403, 406","403, 406",0,are,are,main,main
44,0.0,"400, 402","400, 402",0,We,We,participant-role,participant-role
50,33.015148038438355,"433, 484","400, 485",34,spend most nights together one or the other's place,We are together all the time and spend most nights together one or the other's place.,configuration,configuration
49,40.45985664828782,"451, 459","420, 485",57,together,the time and spend most nights together one or the other's place.,participant-role,participant-role
55,0.0,"537, 539","537, 539",0,we,we,participant-role,participant-role
51,0.0,"486, 489","486, 489",0,She,She,participant-role,participant-role
52,0.0,"490, 496","490, 496",0,became,became,main,main
54,29.0,"486, 531","486, 560",29,She became more irritable about little things,"She became more irritable about little things, but we never really argued.",configuration,configuration
64,4.0,"586, 602","582, 602",4,did not push her,and did not push her,configuration,configuration
59,14.0,"563, 581","563, 567",14,went with the flow,went,main,main
60,0.0,"561, 581","561, 581",0,I went with the flow,I went with the flow,configuration,configuration
63,0.0,"599, 602","599, 602",0,her,her,participant-role,participant-role
67,1.0,"627, 651","627, 652",1,no physical relationship,no physical relationship.,participant-role,participant-role
68,4.123105625617661,"607, 651","603, 652",5,there was basically no physical relationship,and there was basically no physical relationship.,configuration,configuration
62,4.0,"594, 598","590, 598",4,push,not push,main,main
66,0.0,"613, 616","613, 616",0,was,was,main,main
58,0.0,"561, 562","561, 562",0,I,I,participant-role,participant-role
69,0.0,"653, 654","653, 654",0,I,I,participant-role,participant-role
70,5.0,"655, 666","655, 661",5,agreed with,agreed,main,main
74,0.0,"676, 685","676, 685",0,something,something,participant-role,participant-role
76,3.0,"696, 702","693, 702",3,change,to change,main,main
77,5.0990195135927845,"676, 702","671, 703",6,something needed to change,that something needed to change.,configuration,configuration
71,5.0,"667, 670","662, 670",5,her,with her,participant-role,participant-role
72,5.0990195135927845,"676, 702","671, 703",6,something needed to change,that something needed to change.,participant-role,participant-role
73,1.0,"653, 702","653, 703",1,I agreed with her that something needed to change,I agreed with her that something needed to change.,configuration,configuration
80,5.0990195135927845,"718, 757","713, 758",6,she loves me but is not in love with me,that she loves me but is not in love with me.,participant-role,participant-role
89,4.123105625617661,"735, 757","731, 758",5,is not in love with me,but is not in love with me.,configuration,configuration
78,0.0,"704, 707","704, 707",0,She,She,participant-role,participant-role
84,0.0,"728, 730","728, 730",0,me,me,participant-role,participant-role
83,0.0,"722, 727","722, 727",0,loves,loves,main,main
82,0.0,"718, 721","718, 721",0,she,she,participant-role,participant-role
81,1.0,"704, 757","704, 758",1,She says that she loves me but is not in love with me,She says that she loves me but is not in love with me.,configuration,configuration
85,5.0,"718, 730","713, 730",5,she loves me,that she loves me,configuration,configuration
88,13.038404810405298,"755, 757","742, 758",14,me,in love with me.,participant-role,participant-role
79,0.0,"708, 712","708, 712",0,says,says,main,main
86,4.0,"735, 737","735, 741",4,is,is not,main,main
102,0.0,"829, 831","829, 831",0,is,is,main,main
90,0.0,"759, 762","759, 762",0,She,She,participant-role,participant-role
101,0.0,"818, 828","818, 828",0,the answer,the answer,participant-role,participant-role
99,3.0,"779, 809","776, 809",3,she needs to date other people,if she needs to date other people,configuration,configuration
92,4.0,"771, 775","767, 775",4,know,n't know,main,main
94,56.0,"759, 831","759, 775",56,She doesn't know if she needs to date other people or what the answer is,She doesn't know,configuration,configuration
103,3.1622776601683795,"813, 831","810, 832",4,what the answer is,or what the answer is.,configuration,configuration
95,0.0,"779, 782","779, 782",0,she,she,participant-role,participant-role
100,0.0,"813, 817","813, 817",0,what,what,participant-role,participant-role
98,8.0,"797, 809","789, 809",8,other people,to date other people,participant-role,participant-role
115,0.0,"875, 900","875, 900",0,something needs to change,something needs to change,configuration,configuration
116,2.0,"902, 903","900, 903",2,I,", I",participant-role,participant-role
111,9.0,"868, 900","859, 900",9,I know something needs to change,although I know something needs to change,configuration,configuration
108,0.0,"868, 869","868, 869",0,I,I,participant-role,participant-role
109,0.0,"870, 874","870, 874",0,know,know,main,main
114,3.0,"894, 900","891, 900",3,change,to change,main,main
107,61.0,"833, 854","833, 915",61,She is my best friend,"She is my best friend and although I know something needs to change, I am crushed!",configuration,configuration
104,0.0,"833, 836","833, 836",0,She,She,participant-role,participant-role
105,0.0,"837, 839","837, 839",0,is,is,main,main
110,0.0,"875, 900","875, 900",0,something needs to change,something needs to change,participant-role,participant-role
112,0.0,"875, 884","875, 884",0,something,something,participant-role,participant-role
123,1.0,"916, 961","916, 962",1,She concluded she needs time to figure it out,She concluded she needs time to figure it out.,configuration,configuration
125,0.0,"934, 939","934, 939",0,needs,needs,main,main
122,1.0,"930, 961","930, 962",1,she needs time to figure it out,she needs time to figure it out.,participant-role,participant-role
127,1.0,"930, 961","930, 962",1,she needs time to figure it out,she needs time to figure it out.,configuration,configuration
124,0.0,"930, 933","930, 933",0,she,she,participant-role,participant-role
126,5.0990195135927845,"940, 961","945, 962",6,time to figure it out,to figure it out.,participant-role,participant-role
120,0.0,"916, 919","916, 919",0,She,She,participant-role,participant-role
121,0.0,"920, 929","920, 929",0,concluded,concluded,main,main
128,1.0,"963, 977","963, 978",1,How do I react,How do I react?,configuration,configuration
130,0.0,"970, 971","970, 971",0,I,I,participant-role,participant-role
131,0.0,"972, 977","972, 977",0,react,react,main,main
139,10.04987562112089,"1033, 1057","1023, 1058",11,how much she means to me,even more how much she means to me.,participant-role,participant-role
137,0.0,"1013, 1014","1013, 1014",0,I,I,participant-role,participant-role
140,4.123105625617661,"1013, 1057","1009, 1058",5,I realize even more how much she means to me,but I realize even more how much she means to me.,configuration,configuration
134,4.0,"987, 991","983, 991",4,want,n't want,main,main
138,0.0,"1015, 1022","1015, 1022",0,realize,realize,main,main
165,3.1622776601683795,"1055, 1057","1052, 1058",4,me,to me.,participant-role,participant-role
163,0.0,"1042, 1045","1042, 1045",0,she,she,participant-role,participant-role
