,,Relaxed/Lambda Match Statistics
,Precission,0.2175032175032175
,Recall,0.6190476190476191
,F1,0.3219047619047619
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
6,26.248809496813376,"42, 65","25, 85",37,part of the Yahoo group,29 and have been part of the Yahoo group for about 6 months.,attribute,attribute
1,0.0,"20, 21","20, 21",0,I,I,carrier,carrier
2,0.0,"22, 24","22, 24",0,am,am,main,main
165,12.041594578792296,"32, 84","20, 85",13,have been part of the Yahoo group for about 6 months,I am 29 and have been part of the Yahoo group for about 6 months.,attributive,attributive
165,12.041594578792296,"32, 84","20, 85",13,have been part of the Yahoo group for about 6 months,I am 29 and have been part of the Yahoo group for about 6 months.,relational,relational
9,0.0,"93, 102","93, 102",0,your post,your post,range,range
251,0.0,"137, 140","137, 140",0,you,you,agent,agent
254,1.0,"132, 151","132, 152",1,what you are saying,what you are saying.,mental,mental
12,25.019992006393608,"107, 151","132, 152",26,understand many parts of what you are saying,what you are saying.,two-role-cognition,two-role-cognition
254,1.0,"132, 151","132, 152",1,what you are saying,what you are saying.,three-role-cognition,three-role-cognition
7,0.0,"86, 87","86, 87",0,I,I,agent,agent
10,0.0,"107, 117","107, 117",0,understand,understand,main,main
253,0.0,"145, 151","145, 151",0,saying,saying,main,main
197,0.0,"132, 136","132, 136",0,what,what,phenomenon,phenomenon
8,0.0,"88, 92","88, 92",0,read,read,main,main
18,0.0,"160, 165","160, 165",0,lived,lived,main,main
13,1.0,"153, 196","153, 197",1,I have lived most of my twenties overweight,I have lived most of my twenties overweight.,relational,relational
16,0.0,"153, 154","153, 154",0,I,I,carrier,carrier
231,0.0,"265, 266","265, 266",0,I,I,carrier,carrier
24,2.0,"283, 284","281, 284",2,I,", I",agent-cognizant,agent-cognizant
25,0.0,"285, 292","285, 292",0,decided,decided,main,main
232,0.0,"267, 270","267, 270",0,was,was,main,main
14,29.0,"198, 281","198, 310",29,After a 4-year-relationship with someone who reminded me every day I was overweight,"After a 4-year-relationship with someone who reminded me every day I was overweight, I decided to get on a diet.",mental,mental
15,85.00588214941364,"283, 309","198, 310",86,I decided to get on a diet,"After a 4-year-relationship with someone who reminded me every day I was overweight, I decided to get on a diet.",two-role-cognition,two-role-cognition
26,1.0,"293, 309","293, 310",1,to get on a diet,to get on a diet.,phenomenon,phenomenon
21,0.0,"243, 251","243, 251",0,reminded,reminded,main,main
23,61.0,"265, 281","204, 281",61,I was overweight,a 4-year-relationship with someone who reminded me every day I was overweight,phenomenon,phenomenon
