Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,151,,205,,0.6536585365853659,0.8874172185430463,0.7528089887640449
,
RANK,41,27.1523178807947,58,28.292682926829265,0.6379310344827587,0.9024390243902439,0.7474747474747474
clause,41,100.0,58,100.0,0.6379310344827587,0.9024390243902439,0.7474747474747474
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,110,72.84768211920529,147,71.70731707317073,0.6598639455782312,0.8818181818181818,0.754863813229572
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,70,63.63636363636363,93,63.26530612244898,0.6881720430107527,0.9142857142857143,0.7852760736196318
complement-direct,70,63.63636363636363,93,63.26530612244898,0.6881720430107527,0.9142857142857143,0.7852760736196318
complement-indirect,70,63.63636363636363,93,63.26530612244898,0.6881720430107527,0.9142857142857143,0.7852760736196318
predicator,40,36.36363636363637,54,36.734693877551024,0.6111111111111112,0.825,0.7021276595744681
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
