,,Relaxed/Lambda Match Statistics
,Precission,0.2260061919504644
,Recall,0.6488888888888888
,F1,0.3352468427095293
,
,Relaxed/Lambda Matches (True Positives)
Man Id,Dist. Geometric,Man Interval,Auto Interval,Dist. Edit,Man Text,Auto Text,Man Features,Auto Features
10,33.015148038438355,"73, 108","40, 109",34,not especially attentive to my wife,I have been very busy lately and not especially attentive to my wife.,relational,relational
7,0.0,"47, 51","47, 51",0,been,been,main,main
14,0.0,"156, 160","156, 160",0,that,that,carrier,carrier
13,0.0,"146, 150","146, 150",0,done,done,main,main
16,1.0,"163, 171","163, 172",1,about it,about it.,attribute,attribute
18,4.123105625617661,"156, 171","152, 172",5,that's about it,but that's about it.,attributive,attributive
18,4.123105625617661,"156, 171","152, 172",5,that's about it,but that's about it.,relational,relational
15,1.0,"161, 162","160, 162",1,s,'s,main,main
23,0.0,"242, 244","242, 244",0,it,it,carrier,carrier
20,0.0,"189, 192","189, 192",0,try,try,main,main
19,2.0,"186, 188","184, 188",2,we,", we",agent,agent
22,0.0,"175, 237","175, 237",0,"As always, we try to pack too much into the pre-Christmas time","As always, we try to pack too much into the pre-Christmas time",influential,influential
26,4.123105625617661,"242, 261","238, 262",5,it's very stressful,and it's very stressful.,attributive,attributive
26,4.123105625617661,"242, 261","238, 262",5,it's very stressful,and it's very stressful.,relational,relational
25,1.0,"247, 261","247, 262",1,very stressful,very stressful.,attribute,attribute
24,1.0,"245, 246","244, 246",1,s,'s,main,main
21,0.0,"193, 237","193, 237",0,to pack too much into the pre-Christmas time,to pack too much into the pre-Christmas time,phenomenon,phenomenon
30,2.0,"305, 329","303, 329",2,one of the main stresses,", one of the main stresses",carrier,carrier
31,0.0,"330, 332","330, 332",0,is,is,main,main
27,26.30589287593181,"265, 278","269, 304",28,For those who,"those who understand the reference,",affected-cognizant,affected-cognizant
28,0.0,"279, 289","279, 289",0,understand,understand,main,main
41,32.0,"429, 465","429, 433",32,what for us constitutes a real fight,what,possessed,possessed
39,2.0,"422, 424","420, 424",2,we,", we",carrier,carrier
198,0.0,"441, 452","441, 452",0,constitutes,constitutes,main,main
40,0.0,"425, 428","425, 428",0,had,had,main,main
42,1.0,"403, 465","403, 466",1,"Sunday a week ago, we had what for us constitutes a real fight","Sunday a week ago, we had what for us constitutes a real fight.",relational,relational
42,1.0,"403, 465","403, 466",1,"Sunday a week ago, we had what for us constitutes a real fight","Sunday a week ago, we had what for us constitutes a real fight.",possessive,possessive
44,0.0,"470, 473","470, 473",0,had,had,main,main
46,0.0,"526, 527","526, 527",0,I,I,carrier,carrier
47,0.0,"528, 531","528, 531",0,had,had,main,main
50,4.123105625617661,"526, 550","522, 551",5,I had an evening meeting,and I had an evening meeting.,relational,relational
50,4.123105625617661,"526, 550","522, 551",5,I had an evening meeting,and I had an evening meeting.,possessive,possessive
45,0.0,"474, 521","474, 521",0,an afternoon Christmas party with her relatives,an afternoon Christmas party with her relatives,possessed,possessed
48,1.0,"532, 550","532, 551",1,an evening meeting,an evening meeting.,possessed,possessed
