Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,133,,160,,0.775,0.9323308270676691,0.8464163822525597
,
RANK,35,26.31578947368421,42,26.25,0.8095238095238095,0.9714285714285714,0.8831168831168832
clause,35,100.0,42,100.0,0.8095238095238095,0.9714285714285714,0.8831168831168832
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,98,73.68421052631578,118,73.75,0.7627118644067796,0.9183673469387755,0.8333333333333333
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,65,66.3265306122449,77,65.2542372881356,0.7792207792207793,0.9230769230769231,0.8450704225352113
complement-direct,65,66.3265306122449,77,65.2542372881356,0.7792207792207793,0.9230769230769231,0.8450704225352113
complement-indirect,65,66.3265306122449,77,65.2542372881356,0.7792207792207793,0.9230769230769231,0.8450704225352113
predicator,33,33.6734693877551,41,34.74576271186441,0.7317073170731707,0.9090909090909091,0.8108108108108109
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
