Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,221,,289,,0.6782006920415224,0.8868778280542986,0.7686274509803921
,
RANK,58,26.244343891402718,75,25.951557093425603,0.6533333333333333,0.8448275862068966,0.7368421052631579
clause,58,100.0,75,100.0,0.6533333333333333,0.8448275862068966,0.7368421052631579
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,163,73.7556561085973,214,74.0484429065744,0.6869158878504673,0.901840490797546,0.7798408488063661
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,106,65.03067484662577,140,65.42056074766354,0.6928571428571428,0.9150943396226415,0.7886178861788617
complement-direct,106,65.03067484662577,140,65.42056074766354,0.6928571428571428,0.9150943396226415,0.7886178861788617
complement-indirect,106,65.03067484662577,140,65.42056074766354,0.6928571428571428,0.9150943396226415,0.7886178861788617
predicator,57,34.96932515337423,74,34.57943925233645,0.6756756756756757,0.8771929824561403,0.7633587786259542
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
