Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,142,,182,,0.7142857142857143,0.9154929577464789,0.8024691358024693
,
RANK,36,25.352112676056336,48,26.373626373626376,0.6875,0.9166666666666666,0.7857142857142857
clause,36,100.0,48,100.0,0.6875,0.9166666666666666,0.7857142857142857
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,106,74.64788732394366,134,73.62637362637363,0.7238805970149254,0.9150943396226415,0.8083333333333335
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,70,66.0377358490566,87,64.92537313432835,0.7241379310344828,0.9,0.8025477707006369
complement-direct,70,66.0377358490566,87,64.92537313432835,0.7241379310344828,0.9,0.8025477707006369
complement-indirect,70,66.0377358490566,87,64.92537313432835,0.7241379310344828,0.9,0.8025477707006369
predicator,36,33.9622641509434,47,35.07462686567165,0.723404255319149,0.9444444444444444,0.8192771084337349
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
