Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,112,,144,,0.6736111111111112,0.8660714285714286,0.7578125
,
RANK,31,27.67857142857143,36,25.0,0.6944444444444444,0.8064516129032258,0.746268656716418
clause,31,100.0,36,100.0,0.6944444444444444,0.8064516129032258,0.746268656716418
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,81,72.32142857142857,108,75.0,0.6666666666666666,0.8888888888888888,0.761904761904762
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,52,64.19753086419753,72,66.66666666666666,0.6805555555555556,0.9423076923076923,0.7903225806451614
complement-direct,52,64.19753086419753,72,66.66666666666666,0.6805555555555556,0.9423076923076923,0.7903225806451614
complement-indirect,52,64.19753086419753,72,66.66666666666666,0.6805555555555556,0.9423076923076923,0.7903225806451614
predicator,29,35.80246913580247,36,33.33333333333333,0.6388888888888888,0.7931034482758621,0.7076923076923076
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
