Name,Man N,Man %,Auto N,Auto %,Precision,Recall,F1
,
TOTAL,114,,148,,0.7297297297297297,0.9473684210526315,0.8244274809160306
,
RANK,29,25.438596491228072,39,26.351351351351347,0.717948717948718,0.9655172413793104,0.8235294117647058
clause,29,100.0,39,100.0,0.717948717948718,0.9655172413793104,0.8235294117647058
marker,0,0.0,0,0.0,-1,-1,-1.0
group,0,0.0,0,0.0,-1,-1,-1.0
word,0,0.0,0,0.0,-1,-1,-1.0
,
INTERPERSONAL-FUNCTION,85,74.56140350877193,109,73.64864864864865,0.7339449541284404,0.9411764705882353,0.8247422680412371
finite,0,0.0,0,0.0,-1,-1,-1.0
adjunct,0,0.0,0,0.0,-1,-1,-1.0
subject,57,67.05882352941175,70,64.22018348623854,0.7714285714285715,0.9473684210526315,0.8503937007874016
complement-direct,57,67.05882352941175,70,64.22018348623854,0.7714285714285715,0.9473684210526315,0.8503937007874016
complement-indirect,57,67.05882352941175,70,64.22018348623854,0.7714285714285715,0.9473684210526315,0.8503937007874016
predicator,28,32.94117647058823,39,35.77981651376147,0.6666666666666666,0.9285714285714286,0.7761194029850746
,
Mann <=> Auto Mapping,
participant-role,"subject, complement-direct, complement-indirect"
main,predicator
configuration,clause
